model,term,se_type,coefficient,standard_error,p_value,ci_low,ci_high,irr,irr_ci_low,irr_ci_high,irr_10pp,irr_10pp_ci_low,irr_10pp_ci_high,n,alpha
source_event_robustness,C(source_record_id)[T.2015-0333-IND],ordinary,-2.7026737250946296,1.4255985781003524,0.057984274452047256,-5.4967955945828315,0.0914481443935724,0.06702606367947175,0.004099888115351713,1.0957599539223546,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2015-0374-IND],ordinary,-0.6806559673715432,0.9472390648702136,0.4724069492047591,-2.537210419266562,1.1758984845234752,0.5062847771218211,0.07908671112530638,3.2410536725843517,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2015-0406-IND],ordinary,-1.0133486006011905,0.8983128929326815,0.2592956342593581,-2.7740095175972317,0.7473123163948507,0.36300139541682486,0.062411263343401635,2.111317829756658,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2015-0504-IND],ordinary,-0.19507287911079785,0.9995885583892907,0.8452730364989374,-2.1542304529121203,1.7640846946905249,0.82277469278294,0.11599241790358834,5.836227982131918,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2016-0139-IND],ordinary,-1.9020405289053164,1.0378411020300096,0.06684875414021735,-3.9361717105594947,0.1320906527488619,0.14926373130387852,0.019522810837141587,1.1412117685620364,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2016-0239-IND],ordinary,-0.5504741393930492,0.9327565004864928,0.5550844190575782,-2.3786432866921925,1.277695007906094,0.5766763205888384,0.09267622732661243,3.5883590465533106,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2016-0267-IND],ordinary,-0.0578948979331528,0.9485078925444207,0.9513290523117782,-1.916936206372205,1.8011464105058994,0.9437491322088254,0.14705682439739068,6.056586820738627,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2016-0271-IND],ordinary,-2.904261019749624,0.9174543047964108,0.001547822007938428,-4.702438414611823,-1.1060836248874257,0.054789263829092834,0.009073126062796514,0.33085216827778835,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2016-0554-IND],ordinary,0.5075605911885649,1.3890627124166908,0.7148144123029068,-2.2149522974156675,3.2300734797927975,1.6612338197417658,0.10915872127737605,25.281514583166754,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2017-0180-IND],ordinary,-2.6662476912125683,0.8572027246237541,0.0018683094572730563,-4.346334158924732,-0.9861612235004045,0.06951256918275922,0.012954213733652416,0.3730058322131387,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2017-0289-IND],ordinary,-1.0565037810734625,0.8712345458409607,0.22526313299065082,-2.7640921130088563,0.6510845508619312,0.347669215620604,0.06303330049152411,1.917619457456453,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2017-0290-IND],ordinary,-1.8360149774814836,1.1360741146277884,0.10607162852909045,-4.062679325920178,0.39064937095721075,0.15945157984553596,0.017202865229594824,1.4779402137905457,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2017-0294-IND],ordinary,-6.54257052601813,1.4185732875999801,3.986635003441692e-06,-9.32292307914467,-3.7622179728915888,0.0014407801719684365,8.935234432583992e-05,0.023232154898672103,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2017-0342-IND],ordinary,-0.4779093540665513,0.844655988664982,0.5715273352463414,-2.133404671175988,1.1775859630428855,0.6200784020201389,0.11843337993061502,3.246527498219752,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2017-0364-IND],ordinary,0.7269883150637052,1.2288248632523386,0.5541100112002812,-1.6814641602182352,3.135440790345646,2.068840519972053,0.18610129435153236,22.998771244403194,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2017-0517-IND],ordinary,-1.5256065742205722,0.8661311870103019,0.07817011941172508,-3.22319250664769,0.17197935820654586,0.21748909356909762,0.039827704867990775,1.187653317666406,,,,1070,2.5854852323672026
