event_district_id,event_id,state,district,start_date,year,aoi_status,aoi_error,aoi_area_km2,eligible_km2,utm_epsg,grid_tiles,grid_blocks,s1_pre_images,s1_post_images,sr_pre_images,sr_post_images,sr_baseline_candidates,sr_baseline_months,sr_post_seen_frac,sr_pre_seen_frac,sr_optical_observed_frac,sr_status,sr_reason,sr_kept_tiles,sr_kept_km2,sr_usable_km2,sr_usable_frac,sr_new_water_c_km2,sr_fine_scale_m,sr_error,l1c_pre_images,l1c_post_images,l1c_baseline_candidates,l1c_baseline_months,l1c_post_seen_frac,l1c_pre_seen_frac,l1c_optical_observed_frac,l1c_status,l1c_reason,l1c_kept_tiles,l1c_kept_km2,l1c_usable_km2,l1c_usable_frac,l1c_new_water_c_km2,l1c_fine_scale_m,l1c_error,probe_version,spec_version,elapsed_s
E025::y.s.r.,E025,Andhra Pradesh,Y.S.R.,2015-11-08,2015,failed,district AOI match failed for Andhra Pradesh/Y.S.R.: 0 exact candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,3.3
E026::district_missing,E026,Puducherry,district_missing,2015-11-08,2015,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,0.0
E027::chennai,E027,Tamil Nadu,Chennai,2015-11-08,2015,matched,,196.631,192.641,EPSG:32644,768.0,4.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,4.8
E027::cuddalore,E027,Tamil Nadu,Cuddalore,2015-11-08,2015,matched,,3834.148,3769.434,EPSG:32644,20864.0,88.0,4.0,1.0,1.0,0.0,0.0,,0.0,0.02340215968553666,0.0,unavailable,no_post_imagery,,,,,,,,4.0,4.0,0.0,,0.007497672623350962,0.17704955637351227,0.007404492254988236,unavailable,no_clear_baseline,,,,,,,,feas-1,fs1-7f9da549b693,7.7
E027::kancheepuram,E027,Tamil Nadu,Kancheepuram,2015-11-08,2015,matched,,4692.505,4541.701,EPSG:32644,19276.0,80.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,7.4
E027::nagappattinam,E027,Tamil Nadu,Nagappattinam,2015-11-08,2015,failed,district AOI match failed for Tamil Nadu/Nagappattinam: 0 exact candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,1.9
E027::thiruvallur,E027,Tamil Nadu,Thiruvallur,2015-11-08,2015,matched,,3253.948,3078.675,EPSG:32644,19320.0,84.0,2.0,1.0,1.0,0.0,0.0,,0.0,0.15217812231025443,0.0,unavailable,no_post_imagery,,,,,,,,2.0,0.0,0.0,,0.0,0.1577125373168957,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,7.1
E027::thiruvarur,E027,Tamil Nadu,Thiruvarur,2015-11-08,2015,failed,district AOI match failed for Tamil Nadu/Thiruvarur: 0 exact candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,1.8
E027::viluppuram,E027,Tamil Nadu,Viluppuram,2015-11-08,2015,failed,district AOI match failed for Tamil Nadu/Viluppuram: 0 exact candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,1.8
E028::district_missing,E028,Arunachal Pradesh,district_missing,2016-04-22,2016,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,0.0
E029::district_missing,E029,Assam,district_missing,2016-04-22,2016,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,0.0
E030::district_missing,E030,Nagaland,district_missing,2016-04-22,2016,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,0.0
E031::district_missing,E031,Arunachal Pradesh,district_missing,2016-06-25,2016,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,0.0
E032::district_missing,E032,Assam,district_missing,2016-06-25,2016,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,0.0
E033::chamoli,E033,Uttarakhand,Chamoli,2016-06-25,2016,matched,,7838.316,141.245,EPSG:32644,31284.0,130.0,7.0,2.0,0.0,0.0,3.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,10.0,0.0,3.0,,0.0,0.7063993827442611,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,7.0
E033::pithoragarh,E033,Uttarakhand,Pithoragarh,2016-06-25,2016,matched,,7209.481,99.318,EPSG:32644,41664.0,168.0,8.0,2.0,1.0,0.0,4.0,2016-01|2016-02|2016-03|2016-05,0.0,0.04829693830290252,0.0,unavailable,no_post_imagery,,,,,,,,18.0,0.0,3.0,,0.0,0.4494385269297292,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,11.6
