event_district_id,event_id,source_record_id,start_date,state,district,flood_area_km2,flood_ratio,aoi_area_km2,satellite_source,satellite_status,district_match_status,geometry_id,aoi_match_status,analysis_observation_status,route_reason,cloud_pct,otsu_fallback_used,s1_orbit,eligible_km2,flood_ratio_eligible,sits_status,converter_decision,legacy_flood_area_km2,legacy_satellite_source,spec_version
E027::thiruvallur,E027,2015-0504-IND,2015-11-08,Tamil Nadu,Thiruvallur,,,3253.948176231063,NONE,missing,matched,70251.0,matched,missing,,,,,,,,,,NONE,
E027::thiruvarur,E027,2015-0504-IND,2015-11-08,Tamil Nadu,Thiruvarur,,,2285.385478948947,NONE,missing,matched,76128533B45072089356239,matched,missing,,,,,,,,,,NONE,
E027::viluppuram,E027,2015-0504-IND,2015-11-08,Tamil Nadu,Viluppuram,,,3991.6051885927886,NONE,missing,matched,76128533B86430586962522,matched,missing,,,,,,,,,,NONE,
E028::tawang,E028,2016-0139-IND,2016-04-22,Arunachal Pradesh,Tawang,,,2316.1238846718884,NONE,missing,matched,76128533B18668117085772,matched,missing,,,,,,,,,,NONE,
E029::barpeta,E029,2016-0139-IND,2016-04-22,Assam,Barpeta,,,3253.622989828742,NONE,missing,matched,17576.0,matched,missing,,,,,,,,,,NONE,
E029::bongaigaon,E029,2016-0139-IND,2016-04-22,Assam,Bongaigaon,,,2332.582799042809,NONE,missing,matched,70086.0,matched,missing,,,,,,,,,,NONE,
E029::dhemaji,E029,2016-0139-IND,2016-04-22,Assam,Dhemaji,,,2503.3476339074205,NONE,missing,matched,70087.0,matched,missing,,,,,,,,,,NONE,
E029::dhubri,E029,2016-0139-IND,2016-04-22,Assam,Dhubri,,,1790.280077462252,NONE,missing,matched,76128533B25835998628545,matched,missing,,,,,,,,,,NONE,
E029::golaghat,E029,2016-0139-IND,2016-04-22,Assam,Golaghat,,,3532.2679838886856,NONE,missing,matched,17582.0,matched,missing,,,,,,,,,,NONE,
E029::jorhat,E029,2016-0139-IND,2016-04-22,Assam,Jorhat,,,2842.716884638612,NONE,missing,matched,70089.0,matched,missing,,,,,,,,,,NONE,
E029::lakhimpur,E029,2016-0139-IND,2016-04-22,Assam,Lakhimpur,,,2886.5239581816727,NONE,missing,matched,70091.0,matched,missing,,,,,,,,,,NONE,
E030::mokokchung,E030,2016-0139-IND,2016-04-22,Nagaland,Mokokchung,,,1608.6120137611415,NONE,missing,matched,17802.0,matched,missing,,,,,,,,,,NONE,
E030::mon,E030,2016-0139-IND,2016-04-22,Nagaland,Mon,,,2130.495255244007,NONE,missing,matched,17803.0,matched,missing,,,,,,,,,,NONE,
E031::namsai,E031,2016-0239-IND,2016-06-25,Arunachal Pradesh,Namsai,,,1281.1997378272174,NONE,missing,matched,76128533B1875965515331,matched,missing,,,,,,,,,,NONE,
E032::barpeta,E032,2016-0239-IND,2016-06-25,Assam,Barpeta,,,3253.622989828742,NONE,missing,matched,17576.0,matched,missing,,,,,,,,,,NONE,
E032::bongaigaon,E032,2016-0239-IND,2016-06-25,Assam,Bongaigaon,,,2332.582799042809,NONE,missing,matched,70086.0,matched,missing,,,,,,,,,,NONE,
E032::darrang,E032,2016-0239-IND,2016-06-25,Assam,Darrang,,,3426.9679336953163,NONE,missing,matched,17578.0,matched,missing,,,,,,,,,,NONE,
E032::dhemaji,E032,2016-0239-IND,2016-06-25,Assam,Dhemaji,,,2503.3476339074205,NONE,missing,matched,70087.0,matched,missing,,,,,,,,,,NONE,
E032::dhubri,E032,2016-0239-IND,2016-06-25,Assam,Dhubri,,,1790.2800774622651,NONE,missing,matched,76128533B25835998628545,matched,missing,,,,,,,,,,NONE,
E032::goalpara,E032,2016-0239-IND,2016-06-25,Assam,Goalpara,,,1904.60564716237,NONE,missing,matched,17581.0,matched,missing,,,,,,,,,,NONE,
E032::golaghat,E032,2016-0239-IND,2016-06-25,Assam,Golaghat,,,3532.2679838886856,NONE,missing,matched,17582.0,matched,missing,,,,,,,,,,NONE,
E032::jorhat,E032,2016-0239-IND,2016-06-25,Assam,Jorhat,,,2842.716884638612,NONE,missing,matched,70089.0,matched,missing,,,,,,,,,,NONE,
E032::lakhimpur,E032,2016-0239-IND,2016-06-25,Assam,Lakhimpur,,,2886.5239581816727,NONE,missing,matched,70091.0,matched,missing,,,,,,,,,,NONE,
E032::morigaon,E032,2016-0239-IND,2016-06-25,Assam,Morigaon,,,1508.3262903435707,NONE,missing,matched,76128533B17968019348564,matched,missing,,,,,,,,,,NONE,
E032::sonitpur,E032,2016-0239-IND,2016-06-25,Assam,Sonitpur,,,4676.158375740257,NONE,missing,matched,17593.0,matched,missing,,,,,,,,,,NONE,
E033::chamoli,E033,2016-0239-IND,2016-06-25,Uttarakhand,Chamoli,,,7838.316284013912,NONE,missing,matched,70282.0,matched,missing,,,,,,,,,,NONE,
E033::pithoragarh,E033,2016-0239-IND,2016-06-25,Uttarakhand,Pithoragarh,,,7209.480621522472,NONE,missing,matched,17932.0,matched,missing,,,,,,,,,,NONE,
E034::agar%20malwa,E034,2016-0276-IND,2016-07-09,Madhya Pradesh,Agar Malwa,,,2762.084548398019,NONE,missing,matched,76128533B29721759389119,matched,missing,,,,,,,,,,NONE,
E034::bhopal,E034,2016-0276-IND,2016-07-09,Madhya Pradesh,Bhopal,,,2728.200542472355,NONE,missing,matched,17716.0,matched,missing,,,,,,,,,,NONE,
E034::damoh,E034,2016-0276-IND,2016-07-09,Madhya Pradesh,Damoh,,,7370.294062152793,NONE,missing,matched,17720.0,matched,missing,,,,,,,,,,NONE,
E034::harda,E034,2016-0276-IND,2016-07-09,Madhya Pradesh,Harda,,,3323.033941847883,NONE,missing,matched,70173.0,matched,missing,,,,,,,,,,NONE,
E034::hoshangabad,E034,2016-0276-IND,2016-07-09,Madhya Pradesh,Hoshangabad,,,6725.4630131948015,NONE,missing,matched,17728.0,matched,missing,,,,,,,,,,NONE,
