state,district,event_rows,status,gaul_name,gaul_code,candidates,source,note
Tamil Nadu,Thoothukkudi,2,boundary_review_required,,,Thoothukudi,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Tamil Nadu,Tiruchirappalli,1,boundary_review_required,,,Tiruchchirappalli | Tiruvannamalai | Thiruvallur,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Tamil Nadu,Tirunelveli,2,boundary_review_required,,,Tirunelveli Kattabo | Tiruvannamalai | Thiruvallur,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Tamil Nadu,Tirupattur,1,boundary_review_required,,,Thiruvallur | Villupuram | Tirunelveli Kattabo,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Tamil Nadu,Tiruppur,1,boundary_review_required,,,Thiruvallur | Villupuram | Virudhunagar,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Tamil Nadu,Tiruvallur,1,boundary_review_required,,,Thiruvallur,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Tamil Nadu,Tiruvarur,1,boundary_review_required,,,Thiruvallur | Karur | Tiruvannamalai,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Tamil Nadu,Viluppuram,1,boundary_review_required,,,Villupuram | Kancheepuram,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Telangana,Bhadradri Kothagudem,1,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Telangana,Jayashankar Bhupalpally,1,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Telangana,Mancherial,1,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Telangana,Mulugu,1,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Telangana,Nirmal,1,boundary_review_required,,,Nizamabad,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Telangana,Ranga Reddy,1,boundary_review_required,,,Rangareddi,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Tripura,Gomati,5,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Tripura,Khowai,4,boundary_review_required,,,Dhalai,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Tripura,Sepahijala,3,boundary_review_required,,,Dhalai,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Tripura,Unakoti,4,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Uttar Pradesh,Amethi,1,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Uttar Pradesh,Amroha,1,boundary_review_required,,,Agra | Auraiya,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Uttar Pradesh,Ayodhya,8,boundary_review_required,,,Gonda,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Uttar Pradesh,Barabanki,11,unique_spacing_match,Bara Banki,17896,Bara Banki,FAO/GAUL/2015/level2,"Same normalized spelling; retains GAUL reference geography, not proof of event-year boundaries"
Uttar Pradesh,Budaun,6,boundary_review_required,,,Badaun | Banda | Jalaun,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Uttar Pradesh,Hapur,1,boundary_review_required,,,Hamirpur | Rampur | Kanpur,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Uttar Pradesh,Kanpur Nagar,3,boundary_review_required,,,Kanpur Dehat | Kanpur | Sant Kabir Nagar,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Uttar Pradesh,Kasganj,2,boundary_review_required,,,Kannauj | Maharajganj | Kaushambi,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Uttar Pradesh,Prayagraj,3,boundary_review_required,,,Pratapgarh | Maharajganj | Auraiya,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Uttar Pradesh,Shamli,1,boundary_review_required,,,Shravasti | Kaushambi | Chandauli,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Uttar Pradesh,Shrawasti,3,boundary_review_required,,,Shravasti | Varanasi | Basti,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Uttar Pradesh,Siddharthnagar,5,unique_spacing_match,Siddharth Nagar,70278,Siddharth Nagar | Shahjahanpur | Muzaffarnagar,FAO/GAUL/2015/level2,"Same normalized spelling; retains GAUL reference geography, not proof of event-year boundaries"
Uttarakhand,Dehradun,5,unique_spacing_match,Dehra Dun,17903,Dehra Dun,FAO/GAUL/2015/level2,"Same normalized spelling; retains GAUL reference geography, not proof of event-year boundaries"
Uttarakhand,Nainital,4,unique_spacing_match,Naini Tal,70285,Naini Tal,FAO/GAUL/2015/level2,"Same normalized spelling; retains GAUL reference geography, not proof of event-year boundaries"
Uttarakhand,Rudraprayag,2,unique_spacing_match,Rudra Prayag,70286,Rudra Prayag,FAO/GAUL/2015/level2,"Same normalized spelling; retains GAUL reference geography, not proof of event-year boundaries"
West Bengal,Alipurduar,6,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
West Bengal,Cooch Behar,6,boundary_review_required,,,Kochbihar,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
West Bengal,Darjeeling,8,boundary_review_required,,,Darjiling,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
West Bengal,East Medinipur,5,boundary_review_required,,,East Midnapore | West Midnapore | Dakshin Dinajpur,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
West Bengal,Hooghly,5,boundary_review_required,,,Hugli,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
West Bengal,Howrah,4,boundary_review_required,,,Haora,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
West Bengal,Jhargram,4,boundary_review_required,,,Haora,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
West Bengal,Kalimpong,5,boundary_review_required,,,Darjiling,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
West Bengal,Malda,4,boundary_review_required,,,Maldah,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
West Bengal,Paschim Bardhaman,4,boundary_review_required,,,Barddhaman,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
West Bengal,Purba Bardhaman,4,boundary_review_required,,,Barddhaman,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
West Bengal,Purulia,4,boundary_review_required,,,Puruliya,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
West Bengal,West Medinipur,5,boundary_review_required,,,West Midnapore | East Midnapore | Uttar Dinajpur,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
