event_district_id,event_id,source_record_id,start_date,state,district,aoi_level,aoi_source,aoi_match_status,geometry_id,combined_km2,satellite_source,route_reason,routing_mode,optical_footprint,sits_status,sits_reason,converter_decision,s1_flood_km2,ndwi_flood_km2,sits_ndwi_full_km2,sits_ndwi_gated_km2,sits_detect_km2,sits_footprint_km2,sits_usable_km2,sits_usable_frac,sits_s1_usable_km2,sits_threshold,sits_method,optical_available,cloud_pct,optical_observed_frac,otsu_threshold_db,otsu_fallback_used,s1_orbit,s1_post_images,s2_post_images,eligible_km2,builtup_km2,cropland_km2,aoi_area_km2,legacy_combined_km2,legacy_satellite_source,legacy_route_reason,spec_version
E020::deogarh,E020,2015-0317-IND,2015-07-15,Odisha,Deogarh,district,FAO/GAUL/2015/level2,matched,70212,9.2768,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,9.2768,,,,,,,,,,no-sits,False,100.0,,-14.25,False,DESCENDING,4.0,0.0,1421.5718,8.4156,546.5341,2821.6464871491025,9.2768,S1,no_optical_s1,fs1-3016a20fd3ad
E020::jajpur,E020,2015-0317-IND,2015-07-15,Odisha,Jajpur,district,FAO/GAUL/2015/level2,matched,70215,68.0919,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,68.0919,,,,,,,,,,no-sits,False,100.0,,-16.0,True,DESCENDING,3.0,0.0,2574.9049,41.9993,1639.4629,2911.772767533447,68.0919,S1,no_optical_s1,fs1-3016a20fd3ad
E020::jharsuguda,E020,2015-0317-IND,2015-07-15,Odisha,Jharsuguda,district,FAO/GAUL/2015/level2,matched,70216,22.5954,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,22.5954,,,,,,,,,,no-sits,False,100.0,,-13.25,False,DESCENDING,2.0,0.0,1518.8658,42.0146,698.8163,2125.859964241697,22.5954,S1,no_optical_s1,fs1-3016a20fd3ad
E020::keonjhar,E020,2015-0317-IND,2015-07-15,Odisha,Keonjhar,district,FAO/GAUL/2015/level2,matched,17813,34.5658,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,34.5658,,,,,,,,,,no-sits,False,100.0,,-16.0,True,DESCENDING,3.0,0.0,5293.3862,43.0864,2504.1893,8345.992035086878,34.5658,S1,no_optical_s1,fs1-3016a20fd3ad
E020::mayurbhanj,E020,2015-0317-IND,2015-07-15,Odisha,Mayurbhanj,district,FAO/GAUL/2015/level2,matched,17816,36.1866,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,36.1866,,,,,,,,,,no-sits,False,100.0,,-16.0,True,DESCENDING,2.0,0.0,6996.5592,38.6071,3299.743,10478.47816152713,36.1866,S1,no_optical_s1,fs1-3016a20fd3ad
E021::baran,E021,2015-0317-IND,2015-07-15,Rajasthan,Baran,district,FAO/GAUL/2015/level2,matched,70236,,NONE,no_s1,s1_interim,,unavailable,no_post_imagery,,,,,,,,,,,,no-sits,False,100.0,,,,,0.0,0.0,6238.9206,103.1903,4229.4871,6837.623843421029,,NONE,no_measurement,fs1-3016a20fd3ad
E021::barmer,E021,2015-0317-IND,2015-07-15,Rajasthan,Barmer,district,FAO/GAUL/2015/level2,matched,17837,846.6019,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,846.6019,,,,,,,,,,no-sits,False,100.0,,-15.75,False,BOTH,3.0,0.0,22998.3988,188.5834,10646.6395,28422.68727445841,846.6019,S1,no_optical_s1,fs1-3016a20fd3ad
E021::dungarpur,E021,2015-0317-IND,2015-07-15,Rajasthan,Dungarpur,district,FAO/GAUL/2015/level2,matched,17845,,NONE,no_s1,s1_interim,,unavailable,no_post_imagery,,,,,,,,,,,,no-sits,False,100.0,,,,,0.0,0.0,2531.8194,52.5953,1329.8279,3785.079096662621,,NONE,no_measurement,fs1-3016a20fd3ad
E021::jalore,E021,2015-0317-IND,2015-07-15,Rajasthan,Jalore,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B59459156188335,,NONE,no_s1,s1_interim,,unavailable,no_post_imagery,,,,,,,,,,,,no-sits,False,100.0,,,,,0.0,0.0,9748.2941,151.3575,7432.2492,10759.887698144588,,NONE,no_measurement,fs1-3016a20fd3ad
E021::jhalawar,E021,2015-0317-IND,2015-07-15,Rajasthan,Jhalawar,district,FAO/GAUL/2015/level2,matched,17850,,NONE,no_s1,s1_interim,,unavailable,no_post_imagery,,,,,,,,,,,,no-sits,False,100.0,,,,,0.0,0.0,5319.2421,106.9369,3736.8269,6261.78152754128,,NONE,no_measurement,fs1-3016a20fd3ad
