event_district_id,event_id,source_record_id,start_date,state,district,flood_area_km2,flood_ratio,aoi_area_km2,satellite_source,satellite_status,district_match_status,geometry_id,aoi_match_status,analysis_observation_status,route_reason,cloud_pct,otsu_fallback_used,s1_orbit,eligible_km2,flood_ratio_eligible,sits_status,converter_decision,legacy_flood_area_km2,legacy_satellite_source,spec_version
E016::kokrajhar,E016,2015-0317-IND,2015-07-15,Assam,Kokrajhar,48.58,0.0146,3329.2233881813268,S1,observed,matched,70090.0,matched,observed,interim_s1_only,100.0,True,ASCENDING,3061.7037,0.0159,unavailable,,48.58,S1,fs1-3016a20fd3ad
E016::lakhimpur,E016,2015-0317-IND,2015-07-15,Assam,Lakhimpur,51.7313,0.0179,2886.5239581816727,S1,observed,matched,70091.0,matched,observed,interim_s1_only,100.0,False,ASCENDING,2563.3875,0.0202,unavailable,,51.7313,S1,fs1-3016a20fd3ad
E016::morigaon,E016,2015-0317-IND,2015-07-15,Assam,Morigaon,,,1508.3262903435684,NONE,missing,matched,76128533B17968019348564,matched,missing,no_s1,100.0,,,1311.7575,,unavailable,,,NONE,fs1-3016a20fd3ad
E016::nagaon,E016,2015-0317-IND,2015-07-15,Assam,Nagaon,32.4244,0.0081,3997.4423095607103,S1,observed,matched,17589.0,matched,observed,interim_s1_only,100.0,True,ASCENDING,3099.3518,0.0105,unavailable,,32.4244,S1,fs1-3016a20fd3ad
E016::nalbari,E016,2015-0317-IND,2015-07-15,Assam,Nalbari,,,2339.8796955273547,NONE,missing,matched,17590.0,matched,missing,no_s1,100.0,,,2097.5834,,unavailable,,,NONE,fs1-3016a20fd3ad
E016::sonitpur,E016,2015-0317-IND,2015-07-15,Assam,Sonitpur,68.551,0.0147,4676.158375740257,S1,observed,matched,17593.0,matched,observed,interim_s1_only,100.0,False,ASCENDING,4081.5881,0.0168,unavailable,,68.551,S1,fs1-3016a20fd3ad
E016::tinsukia,E016,2015-0317-IND,2015-07-15,Assam,Tinsukia,6.4123,0.0017,3799.190193815676,S1,observed,matched,70093.0,matched,observed,interim_s1_only,100.0,True,DESCENDING,3303.9786,0.0019,unavailable,,6.4123,S1,fs1-3016a20fd3ad
E016::udalguri,E016,2015-0317-IND,2015-07-15,Assam,Udalguri,,,2056.2913712488325,NONE,missing,matched,76128533B20307518801538,matched,missing,no_s1,100.0,,,1902.4689,,unavailable,,,NONE,fs1-3016a20fd3ad
E017::banaskantha,E017,2015-0317-IND,2015-07-15,Gujarat,Banaskantha,,,10638.731207971712,NONE,missing,matched,17637.0,matched,missing,no_s1,100.0,,,9330.3213,,unavailable,,,NONE,fs1-3016a20fd3ad
E017::kutch,E017,2015-0317-IND,2015-07-15,Gujarat,Kutch,2389.9903,0.0559,42739.022712293714,S1,observed,matched,76128533B91881382098572,matched,observed,interim_s1_only,100.0,False,BOTH,35085.3176,0.0681,unavailable,,2389.9903,S1,fs1-3016a20fd3ad
E017::patan,E017,2015-0317-IND,2015-07-15,Gujarat,Patan,,,6017.262722245363,NONE,missing,matched,70129.0,matched,missing,no_s1,100.0,,,5815.1637,,unavailable,,,NONE,fs1-3016a20fd3ad
E019::bishnupur,E019,2015-0317-IND,2015-07-15,Manipur,Bishnupur,77.0245,0.1599,481.84963420103696,S1,observed,matched,70188.0,matched,observed,interim_s1_only,100.0,False,ASCENDING,368.5485,0.209,unavailable,,77.0245,S1,fs1-3016a20fd3ad
E019::chandel,E019,2015-0317-IND,2015-07-15,Manipur,Chandel,1.1076,0.0003,3203.022279023179,S1,observed,matched,70189.0,matched,observed,interim_s1_only,100.0,True,ASCENDING,121.2731,0.0091,unavailable,,1.1076,S1,fs1-3016a20fd3ad
E019::churachandpur,E019,2015-0317-IND,2015-07-15,Manipur,Churachandpur,5.1917,0.0011,4763.149584333486,S1,observed,matched,70190.0,matched,observed,interim_s1_only,100.0,True,ASCENDING,210.6588,0.0246,unavailable,,5.1917,S1,fs1-3016a20fd3ad
E019::jiribam,E019,2015-0317-IND,2015-07-15,Manipur,Jiribam,0.2862,0.002,146.20809022147196,S1,observed,matched,76128533B64881202564500,matched,observed,interim_s1_only,100.0,True,ASCENDING,51.0692,0.0056,unavailable,,0.2862,S1,fs1-3016a20fd3ad
E019::thoubal,E019,2015-0317-IND,2015-07-15,Manipur,Thoubal,62.3161,0.0871,715.5847965133187,S1,observed,matched,70194.0,matched,observed,interim_s1_only,100.0,True,ASCENDING,499.928,0.1247,unavailable,,62.3161,S1,fs1-3016a20fd3ad
E019::ukhrul,E019,2015-0317-IND,2015-07-15,Manipur,Ukhrul,0.2034,0.0,4426.124966872591,S1,observed,matched,70195.0,matched,observed,interim_s1_only,100.0,True,ASCENDING,83.3833,0.0024,unavailable,,0.2034,S1,fs1-3016a20fd3ad
E020::balasore,E020,2015-0317-IND,2015-07-15,Odisha,Balasore,255.9336,0.0696,3677.371422806349,S1,observed,matched,76128533B81147724102706,matched,observed,interim_s1_only,100.0,True,DESCENDING,3299.0039,0.0776,unavailable,,255.9336,S1,fs1-3016a20fd3ad
E020::bhadrak,E020,2015-0317-IND,2015-07-15,Odisha,Bhadrak,151.511,0.0617,2454.2507276454426,S1,observed,matched,70209.0,matched,observed,interim_s1_only,100.0,True,DESCENDING,2394.8429,0.0633,unavailable,,151.511,S1,fs1-3016a20fd3ad
E020::deogarh,E020,2015-0317-IND,2015-07-15,Odisha,Deogarh,9.2768,0.0033,2821.6464871491025,S1,observed,matched,70212.0,matched,observed,interim_s1_only,100.0,False,DESCENDING,1421.5718,0.0065,unavailable,,9.2768,S1,fs1-3016a20fd3ad
E020::jajpur,E020,2015-0317-IND,2015-07-15,Odisha,Jajpur,68.0919,0.0234,2911.772767533447,S1,observed,matched,70215.0,matched,observed,interim_s1_only,100.0,True,DESCENDING,2574.9049,0.0264,unavailable,,68.0919,S1,fs1-3016a20fd3ad
E020::jharsuguda,E020,2015-0317-IND,2015-07-15,Odisha,Jharsuguda,22.5954,0.0106,2125.859964241697,S1,observed,matched,70216.0,matched,observed,interim_s1_only,100.0,False,DESCENDING,1518.8658,0.0149,unavailable,,22.5954,S1,fs1-3016a20fd3ad
E020::keonjhar,E020,2015-0317-IND,2015-07-15,Odisha,Keonjhar,34.5658,0.0041,8345.992035086878,S1,observed,matched,17813.0,matched,observed,interim_s1_only,100.0,True,DESCENDING,5293.3862,0.0065,unavailable,,34.5658,S1,fs1-3016a20fd3ad
E020::mayurbhanj,E020,2015-0317-IND,2015-07-15,Odisha,Mayurbhanj,36.1866,0.0035,10478.47816152713,S1,observed,matched,17816.0,matched,observed,interim_s1_only,100.0,True,DESCENDING,6996.5592,0.0052,unavailable,,36.1866,S1,fs1-3016a20fd3ad
E021::baran,E021,2015-0317-IND,2015-07-15,Rajasthan,Baran,,,6837.623843421029,NONE,missing,matched,70236.0,matched,missing,no_s1,100.0,,,6238.9206,,unavailable,,,NONE,fs1-3016a20fd3ad
E021::barmer,E021,2015-0317-IND,2015-07-15,Rajasthan,Barmer,846.6019,0.0298,28422.68727445841,S1,observed,matched,17837.0,matched,observed,interim_s1_only,100.0,False,BOTH,22998.3988,0.0368,unavailable,,846.6019,S1,fs1-3016a20fd3ad
